#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16384   163840
   16384       2.56       2.79       6.00       3.68       1.10       1.05       3.22 
#                 3          2         10          3          7         10          4 
#              3.12       0.24       1.23       0.22       1.21       1.00       4.90 
#             58.89      77.95     214.47     167.61      36.40      31.91     111.97 
#              0.30       0.20       0.20       0.10       0.20       0.20       0.20 
#   32768   327680
   32768       6.08       6.05      14.75       9.62       2.45       2.23       9.34 
#                 7          7         10          6          2          8          3 
#              3.37       0.25       1.30       0.22       1.19       1.00       6.73 
#             61.63      79.13     232.45     202.15      36.25      31.56     151.87 
#              0.30       0.20       0.20       0.10       0.20       0.20       0.20 
#   65536   655360
   65536      13.46      12.89      32.60      21.68       5.25       4.53      28.09 
#                10          6         16          2          3          3          3 
#              3.40       0.25       1.30       0.22       1.20       0.96       9.45 
#             63.26      81.69     235.32     222.04      36.88      30.55     211.69 
#              0.30       0.20       0.20       0.10       0.20       0.20       0.20 
#  131072  1310720
  131072      27.33      26.64      74.36      49.16      11.67      10.33      82.58 
#                 9          5         13          3          5          9          1 
#              3.32       0.25       1.32       0.22       1.29       1.08      13.26 
#             61.68      80.88     251.33     245.48      39.44      34.12     296.67 
#              0.30       0.30       0.20       0.20       0.20       0.20       0.20 
#  262144  2621440
  262144      60.15      56.32     165.02     115.61      24.20      20.57     242.21 
#                 3          3         10          2          7         17          1 
#              3.37       0.25       1.37       0.22       1.27       1.04      18.56 
#             65.67      83.44     263.96     276.66      39.78      33.25     411.23 
#              0.35       0.26       0.24       0.16       0.23       0.24       0.22 
