#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   32767   180223
   32767       1.85       2.26       2.24       1.22       1.07       1.26       6.27 
#                10          3         32         27          3          2         20 
#              0.66       0.19       0.22       0.18       0.90       0.90      10.74 
#             42.56      81.23      68.42      51.71      37.30      43.37     214.75       0.20       0.20       0.20       0.10       0.20       0.20       0.20 
#   65710   360622
   65710       4.61       6.35       3.89       4.03       2.68       3.11      17.61 
#                12          2         29         29          2          2         10 
#              0.85       0.19       0.24       0.18       0.91       0.91      14.37 
#             51.32     114.59      56.51      88.40      46.78      55.29     291.91       0.30       0.20       0.20       0.20       0.20       0.20       0.20 
#  131071   720895
  131071      12.95      17.51      13.78      11.84       6.63       7.67      48.21 
#                10          2         17         22          3          1         26 
#              1.03       0.18       0.25       0.18       0.91       0.91      19.76 
#             68.97     160.63      98.52     133.71      61.21      71.84     401.91       0.30       0.20       0.20       0.20       0.20       0.20       0.20 
#  262478  1442126
  262478      29.60      47.40      28.17      31.65      16.98      19.30     151.78 
#                12          2         18         23          2          0         16 
#              1.07       0.18       0.24       0.18       0.91       0.91      29.79 
#             83.59     224.67      99.92     183.39      79.27      94.50     610.11       0.30       0.20       0.20       0.20       0.20       0.20       0.20 
#  524287  2883583
  524287      80.24     132.26      85.23      86.59      45.63      52.43     442.93 
#                 5          1         16         24          1          1         14 
#              1.20       0.18       0.24       0.18       0.91       0.91      41.57 
#            111.99     317.54     144.33     252.70     105.78     127.80     841.81       0.31       0.18       0.25       0.15       0.19       0.18       0.23 
