#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768    98304
   32768       0.80       0.31       0.15       0.15       0.12       0.13       0.13 
#                 7         13          7         11          7          8          5 
#              4.27       0.20       0.30       0.20       0.55       0.55       0.57 
#             14.28       5.32       4.60       4.70       2.71       2.75       2.82 
#              0.60       0.60       0.30       0.30       0.40       0.50       0.50 
#   65536   196608
   65536       1.96       0.67       0.34       0.42       0.29       0.30       0.30 
#                 7          9          2         20          6          4          8 
#              4.53       0.19       0.28       0.19       0.55       0.54       0.53 
#             14.45       4.95       4.28       5.19       2.82       2.77       2.69 
#              0.70       0.70       0.40       0.40       0.50       0.60       0.60 
#  131072   393216
  131072       3.33       1.49       0.73       1.01       0.62       0.63       0.60 
#                 6          2          3         12          4          2          1 
#              3.17       0.20       0.28       0.20       0.53       0.55       0.54 
#             12.31       6.13       4.30       5.88       2.69       2.79       2.72 
#              0.70       0.60       0.40       0.40       0.60       0.60       0.60 
#  262144   786432
  262144      16.21       4.43       1.63       2.56       1.25       1.27       1.25 
#                 4         12          3          1          2          2          4 
#              7.27       0.19       0.29       0.19       0.51       0.50       0.51 
#             21.72       7.19       4.35       6.69       2.61       2.55       2.58 
#              0.90       0.80       0.50       0.50       0.60       0.60       0.60 
#  524288  1572864
  524288     162.80      12.50       4.03       6.07       3.70       3.39       3.28 
#                 2          7          2          9          2          2          3 
#             22.92       0.23       0.33       0.22       0.75       0.74       0.76 
#            122.88      10.35       5.54       7.75       3.64       3.59       3.63 
#              0.84       0.77       0.46       0.50       0.65       0.60       0.57 
