#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768    98304
   32768       2.29       0.72       0.27       0.21       0.19       0.19       0.24 
#                17         33         40         35         28         25         55 
#             10.53       0.20       0.35       0.19       0.85       0.82       1.00 
#             37.99      10.78       7.74       6.07       5.04       4.58       5.87 
#              0.60       0.70       0.30       0.30       0.40       0.40       0.40 
#   65536   196608
   65536       8.15       1.05       0.39       0.37       0.33       0.33       0.31 
#                14         41         14         20         22         16         14 
#             16.77       0.19       0.29       0.19       0.64       0.57       0.56 
#             53.99       6.15       4.68       4.41       3.42       2.97       2.88 
#              0.80       0.90       0.40       0.40       0.50       0.60       0.50 
#  131072   393216
  131072      33.85       3.19       1.09       0.83       0.76       0.76       0.75 
#                11         67         57         21         30         28         29 
#             30.07       0.20       0.32       0.19       0.62       0.62       0.63 
#             95.41       8.59       6.25       4.20       3.32       3.33       3.32 
#              0.90       0.90       0.40       0.50       0.60       0.60       0.60 
#  262144   786432
  262144     134.23       7.56       1.96       1.77       2.23       1.72       2.07 
#                10         77         28         23         64         38         73 
#             52.40       0.20       0.31       0.19       0.86       0.63       0.81 
#            163.02       9.45       5.23       4.20       5.12       3.60       4.68 
#              1.00       1.00       0.50       0.50       0.60       0.60       0.60 
#  524288  1572864
  524288     596.01      37.71       6.42       6.09       6.14       4.27       4.95 
#                 5         49         45         46         56         26         56 
#            103.95       0.20       0.40       0.19       1.14       0.79       0.96 
#            329.23      21.62       8.51       6.93       7.00       4.60       5.64 
#              1.15       1.11       0.48       0.56       0.56       0.59       0.56 
