#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768   163795
   32768       0.47       0.46       0.86       1.04       0.79       0.84       5.56 
#                 8          4          6          6         16         14          3 
#              0.47       0.23       0.34       0.23       2.30       2.15      19.54 
#             10.72       9.91      24.05      29.97      22.10      22.90     159.70 
#              0.30       0.30       0.20       0.20       0.20       0.20       0.20 
#   65536   327635
   65536       1.03       1.10       1.92       2.43       1.90       2.06      16.74 
#                12          6         20          9         10         15          4 
#              0.48       0.23       0.37       0.23       2.58       2.51      28.72 
#              9.84      10.30      23.94      30.75      25.13      27.36     234.10 
#              0.30       0.30       0.20       0.20       0.20       0.20       0.20 
#  131072   655315
  131072       2.26       2.36       3.74       5.95       4.42       4.70      46.71 
#                15          8         14          6          1          8          4 
#              0.52       0.24       0.38       0.23       2.78       2.78      39.45 
#              9.72      10.51      21.83      33.82      27.64      30.71     320.20 
#              0.40       0.30       0.30       0.30       0.20       0.20       0.20 
#  262144  1310675
  262144       5.51       5.09       9.02      13.02       9.52      14.10     139.48 
#                 8          7          8          7         13          9          2 
#              0.51       0.23       0.39       0.23       2.76       4.10      56.93 
#             11.67      10.91      25.77      35.35      27.93      47.42     464.25 
#              0.40       0.40       0.30       0.30       0.30       0.20       0.20 
#  524288  2621395
  524288      11.28      10.76      18.52      29.82      24.83      29.79     403.75 
#                12          4         14          6          8         13          3 
#              0.54       0.24       0.42       0.24       3.45       4.27      80.13 
#             11.37      11.22      25.51      38.42      35.16      49.66     649.73 
#              0.38       0.37       0.28       0.30       0.27       0.23       0.24 
