#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#    7074    64416
    7074       0.02       0.65       0.08       2.85       3.31       3.52       3.21 
#                 0          1          7          2          4          0          4 
#              0.08       0.08       0.11       0.08       6.57       6.83       6.34 
#              1.87      56.14      12.84     349.67     364.38     372.63     340.24 
#              0.20       0.20       0.10       0.10       0.10       0.10       0.10 
#   14042   166905
   14042       0.05       2.31       0.32      10.64      10.49      13.07      11.10 
#                 9          0          2          1          5          2          8 
#              0.06       0.06       0.09       0.06       5.98       7.42       6.30 
#              1.91      79.57      17.43     506.00     446.51     535.39     454.95 
#              0.20       0.20       0.10       0.10       0.10       0.10       0.10 
#   28482   454464
   28482       0.33       8.71       1.30      41.95      39.63      52.29      43.77 
#                 6          0          1          1          7          2          3 
#              0.05       0.05       0.06       0.04       6.15       7.91       6.62 
#              6.59     114.19      24.69     731.67     620.81     773.27     658.11 
#              0.10       0.20       0.10       0.10       0.10       0.10       0.10 
#   56432  1214730
   56432       1.15      32.50       4.72     157.06     114.22     205.65     126.23 
#                 6          0          1          0          5          2          5 
#              0.04       0.03       0.05       0.03       4.85       8.26       4.88 
#              8.86     161.96      34.66    1002.70     666.44    1090.31     661.98 
#              0.10       0.20       0.10       0.10       0.10       0.20       0.20 
#  114306  3391104
  114306       0.95     128.29      19.47     668.82     502.59     878.31     606.56 
#                 2          1          2          1          5          1          7 
#              0.03       0.02       0.03       0.02       5.19       8.54       5.52 
#              2.18     231.49      49.26    1460.11     984.56    1581.39    1049.16 
#              0.13       0.16       0.12       0.14       0.15       0.16       0.17 
