#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16321   163840
   16321       3.42       5.96       0.72       3.35       0.78       0.76       2.95 
#                 1          3          9          2          9          2          3 
#              1.03       0.25       0.29       0.25       0.85       0.68       4.16 
#             98.56     166.16      25.67     139.24      26.21      22.09     109.63 
#              0.20       0.20       0.20       0.10       0.20       0.20       0.20 
#   32761   327600
   32761      10.48      17.35       1.80       7.61       1.89       1.79       8.96 
#                 2          1          8          3          4          4          3 
#              1.26       0.25       0.29       0.25       0.87       0.76       5.95 
#            145.10     236.05      29.72     147.91      27.68      24.52     156.76 
#              0.20       0.20       0.20       0.20       0.20       0.20       0.20 
#   65409   655360
   65409      31.71      51.25       3.88      16.13       4.36       4.00      26.26 
#                 1          1          1          4          3          2          2 
#              1.49       0.26       0.29       0.26       1.02       0.85       8.41 
#            213.02     337.86      30.62     149.16      31.91      27.20     221.13 
#              0.20       0.20       0.20       0.20       0.20       0.20       0.20 
#  131041  1310582
  131041      93.34     148.97       8.86      35.85       9.56       8.77      78.52 
#                 1          1          6          2          1          1          1 
#              1.72       0.26       0.29       0.26       1.04       0.87      11.88 
#            307.00     475.84      34.71     159.33      33.53      28.73     312.41 
#              0.20       0.20       0.20       0.20       0.20       0.20       0.20 
#  261889  2621440
  261889     279.02     439.78      18.66      83.17      20.84      18.23     233.68 
#                 1          1          0          2          1          0          1 
#              1.95       0.26       0.29       0.26       1.10       0.87      16.64 
#            446.83     677.72      35.64     178.87      35.53      29.29     437.65 
#              0.24       0.25       0.20       0.18       0.22       0.24       0.20 
