#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   65533   212989
   65533       3.06       3.75       2.92       1.53       1.55       1.76      12.98 
#                 8          3         11          1          5          1         19 
#              1.08       0.31       0.38       0.31       1.53       1.53      23.24 
#             41.62     101.44      56.33      47.37      37.08      40.67     264.49 
#              0.30       0.20       0.20       0.20       0.20       0.20       0.20 
#  131594   426506
  131594       8.73      10.26       7.53       3.89       3.58       4.14      36.54 
#                 9          2         23          1          3          2         19 
#              1.42       0.31       0.37       0.31       1.54       1.54      32.08 
#             54.53     142.69      69.07      61.68      43.06      50.24     363.88 
#              0.40       0.20       0.30       0.10       0.20       0.20       0.20 
#  262141   851965
  262141      21.83      27.64      16.72       9.86       8.62       9.92     115.28 
#                 9          1         22          1          1          1         14 
#              1.58       0.31       0.39       0.31       1.53       1.53      50.08 
#             68.57     201.57      74.90      82.24      55.98      64.71     571.74 
#              0.40       0.20       0.30       0.10       0.20       0.20       0.20 
#  525290  1704938
  525290      56.82      76.07      47.30      25.51      21.07      24.59     283.04 
#                 9          1         14          1          3          1         21 
#              1.97       0.31       0.39       0.31       1.54       1.54      58.41 
#             89.19     286.07     104.39     111.01      69.79      84.53     674.67 
#              0.40       0.20       0.30       0.10       0.20       0.20       0.20 
# 1048573  3407869
 1048573     136.25     207.43      91.98      67.71      56.09      63.19     811.67 
#                16          1         10          1          1          1         29 
#              2.38       0.31       0.43       0.31       1.54       1.54      75.42 
#            109.65     404.56      99.42     151.18      94.71     112.66     888.92 
#              0.36       0.15       0.27       0.13       0.17       0.16       0.27 
