#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768    98304
   32768       0.36       0.30       0.51       0.34       0.23       0.25       1.11 
#                 9          7         13          4          2          4         25 
#              0.79       0.32       0.46       0.31       1.26       1.16       7.21 
#             10.37       8.39      18.15      11.75       7.29       7.25      37.07 
#              0.40       0.40       0.30       0.30       0.30       0.40       0.30 
#   65536   196608
   65536       0.92       0.77       1.22       0.92       0.53       0.56       2.64 
#                 9          4          8         20          2          1         46 
#              0.78       0.32       0.46       0.31       1.23       1.14       8.14 
#             12.06       9.46      20.11      13.44       7.17       7.17      41.48 
#              0.40       0.40       0.30       0.30       0.40       0.40       0.30 
#  131072   393216
  131072       2.18       1.64       2.75       2.05       1.15       1.17       7.04 
#                12          8         32         22          2          1         24 
#              0.90       0.32       0.47       0.31       1.23       1.14      10.67 
#             12.56       9.17      20.84      13.61       7.18       7.16      54.74 
#              0.40       0.50       0.30       0.40       0.40       0.40       0.30 
#  262144   786432
  262144       4.79       3.45       5.82       4.70       2.41       2.42      20.65 
#                 9          5         14         21          1          1         54 
#              0.98       0.32       0.49       0.31       1.24       1.14      15.08 
#             12.63       9.25      21.15      14.32       7.19       7.16      74.91 
#              0.50       0.50       0.30       0.40       0.40       0.40       0.40 
#  524288  1572864
  524288      11.02       6.88      10.70       8.07       5.07       4.89      33.53 
#                13          3         20         10          1          0         53 
#              1.09       0.32       0.51       0.31       1.24       1.14      11.67 
#             13.76       8.91      18.42      12.34       7.19       7.16      58.73 
#              0.51       0.49       0.37       0.42       0.45       0.43       0.36 
