#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16384   163840
   16384       0.12       0.11       0.22       0.22       0.63       0.65       0.95 
#                21         22         26          0          8          6         47 
#              0.10       0.10       0.10       0.10       0.23       0.23       0.28 
#              4.23       3.11       7.25       7.37      30.61      30.61      47.34 
#              0.20       0.20       0.20       0.20       0.10       0.10       0.10 
#   32768   327680
   32768       0.31       0.28       0.70       0.48       1.76       1.80       2.77 
#                15         15         26          1          5          4         50 
#              0.10       0.10       0.10       0.10       0.23       0.23       0.28 
#              4.88       3.84      11.26       7.36      40.66      40.66      65.59 
#              0.20       0.20       0.20       0.20       0.10       0.10       0.10 
#   65536   655360
   65536       0.57       0.51       1.08       0.99       4.68       4.79       6.15 
#                21         18         36          0          3          3         50 
#              0.10       0.10       0.10       0.10       0.23       0.23       0.25 
#              4.44       3.33       8.45       7.36      53.62      53.62      70.59 
#              0.20       0.20       0.20       0.20       0.10       0.10       0.10 
#  131072  1310720
  131072       1.24       1.04       2.12       2.08      13.00      13.23      17.06 
#                 8         16         28          1          2          2         49 
#              0.10       0.10       0.10       0.10       0.23       0.23       0.25 
#              4.62       3.31       7.78       7.35      74.03      74.03      97.16 
#              0.20       0.20       0.20       0.20       0.10       0.10       0.10 
#  262144  2621440
  262144       2.61       2.30       5.12       4.34      36.44      36.86      48.54 
#                19         18         40          1          1          1         54 
#              0.10       0.10       0.10       0.10       0.23       0.23       0.25 
#              4.68       3.52       9.45       7.38     102.09     102.09     135.61 
#              0.21       0.25       0.21       0.22       0.14       0.14       0.14 
