#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16384   163840
   16384       1.23       1.08       1.39       1.41       0.78       0.87       3.66 
#                 6          2          8          1          5          2          7 
#              0.42       0.10       0.12       0.10       0.44       0.43       4.34 
#             41.45      43.35      53.66      76.03      36.58      40.70     199.87 
#              0.20       0.20       0.20       0.10       0.10       0.10       0.10 
#   32768   327680
   32768       3.11       2.86       3.07       4.17       1.94       2.17      10.26 
#                 8          6         22         18          4          2         16 
#              0.49       0.10       0.13       0.10       0.44       0.44       5.99 
#             52.27      56.85      57.50     111.51      45.32      50.83     275.61 
#              0.20       0.20       0.20       0.10       0.10       0.10       0.10 
#   65536   655360
   65536       8.38       7.87       8.47      10.43       4.91       5.45      29.90 
#                12          3         12          1          3          1         13 
#              0.57       0.10       0.12       0.10       0.45       0.44       8.64 
#             68.78      78.76      77.42     138.64      58.51      66.29     397.56 
#              0.20       0.20       0.20       0.10       0.10       0.10       0.10 
#  131072  1310720
  131072      20.75      21.43      22.80      28.70      12.84      14.12      91.02 
#                 4          3         21          1          3          1         11 
#              0.61       0.10       0.13       0.10       0.45       0.44      12.88 
#             87.34     109.22     101.54     191.24      75.36      86.78     589.23 
#              0.20       0.10       0.20       0.10       0.10       0.10       0.10 
#  262144  2621440
  262144      54.52      57.73      59.18      79.12      34.53      37.99     245.15 
#                 4          4         20          1          1          0         16 
#              0.70       0.10       0.13       0.10       0.45       0.44      16.08 
#            113.84     147.66     126.73     262.95      99.63     116.28     738.17 
#              0.18       0.15       0.18       0.11       0.13       0.12       0.13 
