#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16381   163836
   16381      24.41      38.86       1.33       3.57       1.07       1.02       3.33 
#                 2          1         10          2          5          3          3 
#              2.27       0.27       0.31       0.26       1.08       0.90       4.57 
#            738.12    1079.08      47.31     149.88      34.52      29.91     119.98 
#              0.20       0.20       0.20       0.10       0.20       0.20       0.20 
#   32761   327672
   32761     104.03     164.17       3.06       8.46       2.58       2.22       9.86 
#                 2          2         29          4          2          4          4 
#              2.58       0.27       0.31       0.26       1.21       0.93       6.49 
#           1500.54    2155.96      51.64     164.88      38.22      31.10     167.27 
#              0.20       0.20       0.20       0.20       0.20       0.20       0.20 
#   65530   655353
   65530     444.29     699.96       7.30      20.13       5.89       5.16      29.66 
#                 1          1         22          2          5          7          1 
#              2.72       0.27       0.32       0.27       1.29       1.04       9.22 
#           3049.70    4306.69      58.76     185.48      41.38      34.98     236.05 
#              0.20       0.20       0.20       0.20       0.20       0.20       0.20 
#  131068  1310715
  131068 *         *              14.83      48.71      13.66      11.96      87.97 
#                 0          0         36          1          7          5          4 
#              0.00       0.00       0.32       0.27       1.40       1.15      12.66 
#              0.00       0.00      56.83     212.68      45.30      39.09     324.19 
#              0.00       0.00       0.20       0.20       0.20       0.20       0.20 
#  262144  2621439
  262144 *         *              33.48     118.03      27.51      27.65     266.49 
#                 0          0         14          4          4          5          2 
#              0.00       0.00       0.33       0.27       1.33       1.27      18.04 
#              0.00       0.00      61.12     242.33      43.38      43.63     455.11 
#              0.00       0.00       0.21       0.19       0.24       0.24       0.22 
