#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768    98304
   32768       0.05       0.05       0.08       0.11       0.18       0.14       0.10 
#                 0          0          5          5         37          0          6 
#              0.13       0.12       0.12       0.12       0.95       0.59       0.59 
#              1.65       1.29       2.96       4.14       5.23       2.83       1.99 
#              0.30       0.40       0.30       0.30       0.40       0.50       0.50 
#   65536   196608
   65536       0.12       0.11       0.19       0.28       0.45       0.32       0.20 
#                 6          4          2          2         25          3          4 
#              0.12       0.12       0.12       0.12       1.02       0.58       0.57 
#              1.60       1.26       2.91       4.14       5.52       2.78       1.90 
#              0.40       0.50       0.30       0.30       0.40       0.60       0.50 
#  131072   393216
  131072       0.25       0.25       0.40       0.64       1.14       0.70       0.42 
#                 0          6          2          2         20          1          2 
#              0.12       0.12       0.12       0.11       1.25       0.57       0.57 
#              1.56       1.23       2.87       4.14       7.43       2.73       1.88 
#              0.40       0.50       0.40       0.40       0.40       0.60       0.60 
#  262144   786432
  262144       0.53       0.52       0.84       1.37       2.42       1.45       0.85 
#                 0          1          1          1         21          1          1 
#              0.11       0.11       0.11       0.11       1.21       0.56       0.55 
#              1.52       1.20       2.82       4.12       8.48       2.69       1.83 
#              0.40       0.50       0.40       0.40       0.40       0.70       0.60 
#  524288  1572864
  524288       1.09       1.06       1.70       2.86       5.37       2.99       1.69 
#                 1          1          2          1          8          0          0 
#              0.11       0.11       0.11       0.11       1.28       0.55       0.53 
#              1.48       1.17       2.77       4.12       9.65       2.66       1.76 
#              0.47       0.57       0.39       0.44       0.35       0.72       0.61 
