#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768    82333
   32768       2.43       0.53       0.24       0.23       0.25       0.17       0.16 
#                16         37         46         27         36         22         25 
#             13.55       0.25       0.46       0.25       1.52       0.93       0.92 
#             50.12      11.17       8.59       8.45       8.13       4.35       4.26 
#              0.60       0.60       0.30       0.30       0.40       0.50       0.50 
#   65536   164341
   65536      11.41       2.21       0.70       0.64       0.69       0.59       0.75 
#                 9         24         28         19         28         38         35 
#             25.21       0.25       0.55       0.25       1.75       1.32       1.76 
#             92.73      19.93      10.74       9.45       9.48       7.05       9.59 
#              0.70       0.70       0.40       0.40       0.40       0.50       0.50 
#  131072   328397
  131072      47.85       6.18       1.38       1.38       1.42       1.39       1.41 
#                 7         19         33         24         32         48         44 
#             44.62       0.25       0.53       0.25       1.54       1.51       1.52 
#            159.06      22.59       9.42       8.73       8.31       7.71       8.05 
#              0.90       0.80       0.40       0.50       0.50       0.50       0.50 
#  262144   655882
  262144     188.29      16.82       3.57       3.47       3.70       3.83       3.78 
#                 5         28         24         17         21         31         31 
#             79.43       0.25       0.55       0.25       1.96       1.96       1.97 
#            277.99      27.20      11.82      10.09      10.59      10.69      10.68 
#              1.00       0.90       0.50       0.50       0.50       0.50       0.50 
#  524288  1310910
  524288     722.92      53.51       7.20       7.16       7.13       7.29       6.99 
#                 1         15         21         16         27         33         37 
#            143.72       0.25       0.57       0.25       1.75       1.79       1.80 
#            498.03      39.87      11.32      10.05       9.45       9.76       9.47 
#              1.11       1.02       0.49       0.54       0.58       0.57       0.56 
