#          bim_dfs    bim_bfs    bim_lds     bim_ar   bim_fifo     bim_lo     bim_hi 
#   32768    82370
   32768       1.47       0.47       0.25       0.30       0.26       0.25       0.22 
#                15         25         38         41         24         48         43 
#              8.08       0.25       0.51       0.25       1.66       1.43       1.25 
#             33.20      12.35       9.18      12.44       8.95       7.36       6.38 
#              0.50       0.50       0.30       0.30       0.40       0.40       0.40 
#   65536   164193
   65536       8.22       1.80       0.74       0.78       0.75       0.61       0.66 
#                 6         12         17         15          9         28         29 
#             17.75       0.25       0.61       0.25       2.05       1.40       1.59 
#             69.02      20.97      11.96      12.57      10.95       7.72       8.75 
#              0.70       0.50       0.40       0.40       0.40       0.50       0.50 
#  131072   328326
  131072      35.28       4.41       1.26       1.61       1.37       1.29       1.25 
#                10         45         35         33         31         49         50 
#             33.27       0.25       0.51       0.25       1.55       1.46       1.46 
#            120.75      21.15       9.12      11.28       8.33       7.47       7.43 
#              0.90       0.60       0.40       0.40       0.50       0.50       0.50 
#  262144   655720
  262144     155.59      12.82       2.69       3.63       2.71       2.37       2.49 
#                 4         35         30         31         27         42         40 
#             66.13       0.25       0.55       0.25       1.36       1.30       1.36 
#            232.21      26.36       8.85      11.75       7.36       6.30       6.87 
#              1.00       0.70       0.50       0.50       0.60       0.60       0.60 
#  524288  1311296
  524288     639.89      44.30       6.90       9.33       7.07       6.83       6.73 
#                 4         35         31         18         27         40         40 
#            126.52       0.25       0.58       0.25       1.76       1.75       1.76 
#            439.01      40.54      11.13      13.84       9.46       9.27       9.26 
#              1.11       0.83       0.47       0.51       0.57       0.56       0.55 
