#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   15627    67362
   15627       4.07       7.17       1.07       2.26       0.36       0.40       0.51 
#                 1          0         11          5          4          4          5 
#             18.26       0.25       1.58       0.25       1.38       1.34       2.08 
#            143.41     357.82      69.77     185.18      20.60      20.57      29.54 
#              0.40       0.30       0.20       0.20       0.30       0.30       0.30 
#   32770   141203
   32770      14.94      25.21       3.48       6.99       0.92       1.01       1.40 
#                 1          0          4          4          5          1          4 
#             29.11       0.26       2.30       0.26       1.67       1.62       2.63 
#            227.79     592.52     103.32     260.46      24.09      23.74      37.83 
#              0.50       0.30       0.20       0.20       0.30       0.30       0.30 
#   64002   275680
   64002      47.24      78.47       9.91      20.03       2.11       2.34       3.63 
#                 1          1          7          4          2          1          3 
#             44.53       0.27       3.22       0.27       1.83       1.79       3.16 
#            348.57     930.77     145.49     364.31      26.86      27.25      47.84 
#              0.50       0.30       0.20       0.20       0.30       0.30       0.30 
#  125002   538250
  125002     144.96     242.07      27.42      54.70       4.85       5.07       8.74 
#                 1          1          9          3          7          7          4 
#             68.14       0.28       4.35       0.28       2.13       1.99       3.81 
#            537.03    1459.55     203.51     501.39      31.36      29.73      57.75 
#              0.50       0.30       0.30       0.20       0.30       0.30       0.30 
#  262146  1128396
  262146     499.95     863.98      85.93     163.04      11.55      12.07      24.18 
#                 1          1          5          2          7          5          5 
#            109.71       0.29       6.13       0.28       2.35       2.22       4.85 
#            866.97    2396.22     298.65     697.16      34.30      33.31      73.83 
#              0.51       0.32       0.25       0.21       0.30       0.32       0.29 
