#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16302    73400
   16302       1.40       2.04       0.62       3.33       0.31       0.31       0.66 
#                 4          3         20          5         11          8          9 
#              5.44       0.26       0.56       0.26       0.93       0.77       2.23 
#             45.79      96.00      37.28     242.80      15.74      13.80      36.04 
#              0.40       0.30       0.20       0.20       0.30       0.30       0.30 
#   32702   147200
   32702       2.98       4.14       1.48       7.47       0.67       0.62       1.52 
#                 4          3         11          3         14          9         25 
#              5.43       0.25       0.51       0.25       0.97       0.76       2.47 
#             45.34      95.55      43.93     268.82      16.90      12.82      41.18 
#              0.40       0.30       0.20       0.20       0.30       0.30       0.30 
#   65502   294800
   65502       6.12       8.27       2.99      15.30       1.40       1.28       3.51 
#                 4          3         21          3         14         11         32 
#              5.42       0.25       0.50       0.25       0.95       0.74       2.80 
#             44.91      94.97      43.37     269.12      16.79      12.87      47.52 
#              0.50       0.30       0.20       0.20       0.30       0.30       0.30 
#  131002   589550
  131002      12.40      16.56       6.80      31.18       2.45       2.44       8.25 
#                 4          3          8          3          2         10         42 
#              5.42       0.25       0.47       0.25       0.82       0.72       3.29 
#             44.54      94.61      49.03     270.25      14.67      12.12      56.29 
#              0.50       0.30       0.20       0.20       0.30       0.30       0.20 
#  262102  1179500
  262102      24.15      32.38      13.18      61.89       5.03       4.86      18.73 
#                 7          5         24          5         21         11         51 
#              5.28       0.23       0.44       0.23       0.84       0.66       3.76 
#             43.24      92.60      46.87     264.16      14.76      11.85      63.85 
#              0.47       0.30       0.24       0.20       0.29       0.35       0.25 
