#           uf_dfs     uf_bfs     uf_lds      uf_ar    uf_fifo      uf_lo      uf_hi 
#   16002    69280
   16002       8.50      17.41       1.55       1.87       0.46       0.53       0.49 
#                 2          1         10          4          7          7          6 
#             37.45       0.28       2.42       0.27       1.74       1.77       1.82 
#            283.44     825.96      96.73     148.82      25.54      26.73      26.14 
#              0.40       0.30       0.20       0.20       0.30       0.30       0.30 
#   32492   140674
   32492      36.78      76.65       5.27       5.35       1.20       1.41       1.35 
#                 1          1          6          5          7          2          7 
#             70.40       0.30       3.47       0.29       2.10       2.20       2.27 
#            535.95    1647.74     150.03     196.80      29.70      32.49      32.58 
#              0.50       0.30       0.20       0.20       0.30       0.30       0.30 
#   64002   277120
   64002     138.03     302.58      15.97      13.19       2.90       3.30       3.31 
#                 2          3          7          5          9          3          9 
#            128.46       0.31       4.99       0.29       2.51       2.59       2.81 
#            988.11    3173.14     228.67     242.03      35.45      38.13      40.08 
#              0.50       0.30       0.30       0.20       0.30       0.30       0.30 
#  129962   562718
  129962     553.08    1308.81      52.69      34.66       7.52       7.68       8.29 
#                 2          2         20         24         20         15         19 
#            243.49       0.32       7.31       0.30       3.05       2.92       3.48 
#           1886.12    6228.77     355.38     301.58      42.42      42.53      47.06 
#              0.50       0.40       0.30       0.20       0.30       0.30       0.30 
#  259212  1122376
  259212 *         *             170.19      86.09      18.48      18.87      20.35 
#                 0          0          9          9         10          6          8 
#              0.00       0.00      10.90       0.31       3.63       3.60       4.23 
#              0.00       0.00     559.52     371.86      50.00      51.96      57.16 
#              0.00       0.00       0.27       0.21       0.33       0.32       0.32 
